1,run,経営する
2,meet,満たす、に対処する
3,right,権利、善、すぐ
4,last,続く、持つ、最も〜しそうにない、最近
5,stand,耐える
6,turn,番、変わり目
7,case,事実、事件、主張、患者
8,face,直面する、に迫っている、面目
9,certain,ある、確信している、確実だ
10,company,仲間、一緒にいること、来客
11,nature,本質
12,attend,出席する、世話する、注意する
13,otherwise,さもなければ、その他の点では、違う、違う方法で
14,miss,乗り遅れる、恋しい、見逃す
15,term,用語、期、仲
16,practice,実践、習慣、営む
17,challenge,難問、異議を唱える
18,race,人種
19,issue,問題、出す、号
20,party,党、団、相手
21,room,余地
22,sense,意味、正気
23,fault,責任、欠点
24,do,十分役に立つ、与える
25,part,役割、側、手放す
26,figure,数字、人物、スタイル、と思う
27,character,性格、人物、登場人物
28,very,まさにその
29,order,注文する、命令、秩序、順
30,sound,聞こえる、健全な、ぐっすり
31,way,点、距離、方
32,concern,不安、思いやり、関係する、重要な
33,even,さらに
34,still,まだ、さらに、静かに、それでも
35,mean,つもりだった、本気で言ってる、意地悪だ
36,leave,置き忘れる、放置する、結果〜になる、休暇
37,most,たいていの、非常に
38,things,状況
39,will,意志、遺言
40,state,状態、述べる、国家
41,mind,いやで、人々
42,help,〜せずにはいられない
43,matter,重要、物質、異常
44,means,手段、資産
45,content,中身、満足している
46,respect,点、尊重する
47,reason,推理する、理性
48,cause,原因、引き起こす、運動
49,hold,開く、考える
50,fortune,財産、運
51,humanity,人類、人文科学
52,end,目的
53,form,作る、用紙、一種
54,change,小銭、おつり
55,present,現在、出席している、提示する、紹介する、与える
56,work,作品、うまくいく
57,lean,引き起こす、送る、一流
58,life,生物
59,care,気にする、世話
60,class,階級、授業
61,natural,生まれながらの
62,free,無い、解放する
63,head,向かう、率いられた
64,deal,処理する、大量、取引
65,view,見解、考える
66,change,可能性
67,close,近い、親しい、綿密な、終わり
68,interest,利益
69,fail,〜できない、役に立たなくなった
70,major,主要な、専攻する
71,agree,同意する、同じ考えである
72,rule,支配、普通
73,process,課程、加工する、処理する
74,amount,量、合計〜になる、等しい
75,long,切望する
76,line,電話、列、短い手紙、種類
77,letter,文字
78,subject,支配される、かかりやすい、話題、学科
79,rest,残り、休息
80,fine,罰金、細かい
81,wear,すり減った
82,remember,よろしく伝える、忘れずに
83,cover,まかなう、報道する、進む
84,book,予約する
85,store,蓄える
86,save,蓄える、省く、〜を除き
87,serve,出す、役立つ、仕える
88,account,占める、原因、説明する
89,art,技術
90,fire,クビになった、発砲する
91,object,物体、対象、反対する
92,manage,なんとか、経営する
93,fast,ぐっすり
94,assure,思い込む、引き受ける
95,direct,直接の、向ける、道を教える、に指図する
96,ground,根拠
97,due,せいで、十分な、予定だ
98,manner,方法、態度、行儀
99,minute,細かい
100,pretty,かなり
